年度,股票代號,股票名稱,配發次數,現金股利合計(元),股票股利合計(元),現金股利殖利率(%),股利發放率(%),除息日,除權日,除息最後回補日,股東會日期
2025,0050,元大台灣50,2,1.36,0.0,1.8928,,20260122,,,
2025,0052,富邦科技,1,3.23,0.0,2.1111,,20250423,,,
2025,0056,元大高股息,4,3.668,0.0,9.5996,,20260122,,,
2025,006208,富邦台50,2,4.437,0.0,3.0642,,20251118,,,
2025,00679B,元大美債20年,4,1.16,0.0,4.1667,,20260226,,,
2025,00687B,國泰20年美債,4,1.24,0.0,4.3801,,20251216,,,
2025,00712,復華富時不動產,4,0.793,0.0,8.573,,20251217,,,
2025,00713,元大台灣高息低波,4,4.06,0.0,7.9374,,20251219,,,
2025,00830,國泰費城半導體,1,9.0,0.0,13.8675,,20260120,,,
2025,00878,國泰永續高股息,4,1.69,0.0,7.0417,,20260226,,,
2025,00881,國泰台灣科技龍頭,2,3.2,0.0,8.9211,,20260120,,,
2025,00882,中信中國高股息,2,1.0,0.0,6.4683,,20260119,,,
2025,00900,富邦特選高股息30,12,1.15,0.0,7.8821,,20260120,,,
2025,00909,國泰數位支付服務,0,,,,,,,,
2025,00915,凱基優選高股息30,4,1.35,0.0,5.9761,,20251216,,,
2025,00918,大華優利高填息30,4,2.485,0.0,10.809,,20251218,,,
2025,00919,群益台灣精選高息,4,2.52,0.0,11.3565,,20251216,,,
2025,00922,國泰台灣領袖50,2,1.88,0.0,7.2475,,20251020,,,
2025,00929,復華台灣科技優息,12,0.88,0.0,4.4807,,20260120,,,
2025,00937B,群益ESG投等債20+,12,0.9,0.0,5.9445,,20260120,,,
2025,00940,元大台灣價值高息,12,0.44,0.0,4.666,,20260108,,,
2025,00953B,群益優選非投等債,12,0.781,0.0,8.002,,20260106,,,
2025,00982A,主動群益台灣強棒,3,0.947,0.0,5.6504,,20260226,,,
2025,1101,台泥,1,0.8,0.0,3.3264,-50.0,20260701,,20260625,20260522
2025,1210,大成,1,3.0,0.0,5.2083,69.28,20260807,,20260803,20260529
2025,1216,統一,1,3.0,0.0,4.0053,86.96,20260730,,20260724,20260528
2025,1229,聯華,1,1.80117239,0.2001302638,4.1791,77.87,20260708,20260708,20260702,20260528
2025,1231,聯華食,1,1.5,1.0,1.7065,65.62,,,,20260624
2025,1301,台塑,1,0.5,0.0,0.9398,-31.65,20260630,,20260624,20260528
2025,1303,南亞,1,0.8,0.0,0.4061,140.35,20260708,,20260702,20260529
2025,1316,上曜,0,0.0,0.0,0.0,0.0,,,,20260624
2025,1319,東陽,1,5.0,0.0,5.0403,77.76,20260622,,20260615,20260617
2025,1402,遠東新,1,1.25,0.0,4.4014,80.65,20260714,,20260708,20260529
2025,1409,新纖,1,0.9,0.0,3.1915,75.63,,,,20260528
2025,1434,福懋,1,0.5,0.0,2.8571,98.04,20260716,,20260710,20260626
2025,1449,佳和,1,0.0,0.09999994,0.0,83.33,,,,20260624
2025,1476,儒鴻,1,15.0,0.0,4.3668,74.63,20260617,,20260611,20260529
2025,1477,聚陽,2,15.0,0.0,5.597,102.39,20260326,,20260320,20260526
2025,1503,士電,1,5.0,0.0,2.1008,79.74,20260723,,20260717,20260617
2025,1504,東元,1,2.0,0.0,2.7855,82.64,20260617,,20260611,20260528
2025,1513,中興電,1,6.0,0.0,3.3994,74.35,20260709,,20260703,20260525
2025,1514,亞力,1,2.0,0.2,1.6461,66.67,,,,20260611
2025,1519,華城,1,11.0,1.0,1.4286,85.78,,,,20260612
2025,1536,和大,0,0.0,0.0,0.0,0.0,,,,20260529
2025,1560,中砂,1,4.94205668,0.0,0.6427,53.25,20260716,,20260710,20260623
2025,1584,精剛,1,0.258355,0.0,1.3148,58.72,20260622,,20260615,20260528
2025,1605,華新,1,0.5,0.0,1.4368,66.67,20260611,,20260605,20260522
2025,1609,大亞,1,0.7,0.0,1.8111,42.42,20260623,,20260616,20260522
2025,1717,長興,1,1.0,0.0,1.269,70.92,20260424,,20260420,20260626
2025,1785,光洋科,1,2.000099,0.0,1.3159,63.7,20260716,,20260710,20260525
2025,1786,科妍,1,1.90885091,0.0,3.1499,85.22,20260429,,20260423,20260629
2025,1795,美時,1,2.56,0.13,1.3333,14.83,,,,20260616
2025,1802,台玻,0,0.0,0.0,0.0,0.0,,,,20260612
2025,1815,富喬,1,0.5,0.5,0.4926,60.98,,,,20260623
2025,1905,華紙,0,0.0,0.0,0.0,0.0,,,,20260616
2025,2002,中鋼,1,0.15,0.0,0.8065,-51.72,20260724,,20260720,20260522
2025,2009,第一銅,1,0.4,0.0,1.0349,117.65,20260729,,20260723,20260624
2025,2014,中鴻,0,0.0,0.0,0.0,0.0,,,,20260522
2025,2027,大成鋼,1,1.5,0.0,3.69,52.08,20260714,,20260708,20260616
2025,2049,上銀,1,2.0,0.0,0.5682,46.4,20260708,,20260702,20260527
2025,2062,橋椿,1,1.0,0.0,5.2356,256.41,,,,20260430
2025,2101,南港,1,0.7,0.0,1.9886,69.31,20260326,,20260320,20260526
2025,2201,裕隆,1,0.56,0.0,2.0144,60.22,20260825,,20260819,20260527
2025,2204,中華,1,3.6,0.0,6.383,65.81,20260723,,20260717,20260529
2025,2230,泰茂,1,0.60895126,0.0,2.3834,-58.0,20260701,,20260625,20260611
2025,2233,宇隆,1,4.0,0.0,1.6,59.7,20260730,,20260724,20260526
2025,2258,鴻華先進-創,0,0.0,0.0,0.0,0.0,,,,20260522
2025,2301,光寶科,2,5.0,0.0,2.9412,75.3,20260319,,20260313,20260520
2025,2303,聯電,1,2.60808262,0.0,1.5759,78.09,20260708,,20260702,20260527
2025,2308,台達電,1,11.6,0.0,0.5202,50.13,20260617,,20260611,20260528
2025,2312,金寶,1,0.59986732,0.0,1.6733,57.13,20260623,,20260616,20260525
2025,2313,華通,1,2.8,0.0,0.9929,50.82,20260602,,20260527,20260528
