年度,股票代號,股票名稱,現金股利連N年遞增,連續N年發放現金股利,現金股利排名,現金股利殖利率排名
2025,1101,台泥,-1.0,24.0,1125.0,702.0
2025,1210,大成,3.0,25.0,485.0,291.0
2025,1216,統一,0.0,28.0,485.0,563.0
2025,1229,聯華,1.0,30.0,777.0,519.0
2025,1231,聯華食,-1.0,29.0,845.0,1052.0
2025,1301,台塑,0.0,28.0,1226.0,1250.0
2025,1303,南亞,1.0,28.0,1125.0,1424.0
2025,1316,上曜,0.0,-3.0,1484.0,1484.0
2025,1319,東陽,-1.0,25.0,269.0,332.0
2025,1402,遠東新,-1.0,36.0,935.0,462.0
2025,1409,新纖,2.0,17.0,1105.0,726.0
2025,1434,福懋,-1.0,37.0,1226.0,800.0
2025,1449,佳和,0.0,-2.0,1484.0,1484.0
2025,1476,儒鴻,-1.0,26.0,57.0,468.0
2025,1477,聚陽,-1.0,25.0,57.0,232.0
2025,1503,士電,5.0,31.0,269.0,967.0
2025,1504,東元,-1.0,21.0,687.0,817.0
2025,1513,中興電,7.0,24.0,208.0,686.0
2025,1514,亞力,5.0,17.0,687.0,1075.0
2025,1519,華城,4.0,21.0,93.0,1122.0
2025,1536,和大,-3.0,-1.0,1484.0,1484.0
2025,1560,中砂,1.0,22.0,299.0,1343.0
2025,1584,精剛,-2.0,5.0,1381.0,1156.0
2025,1605,華新,0.0,11.0,1226.0,1120.0
2025,1609,大亞,-2.0,9.0,1160.0,1031.0
2025,1717,長興,-1.0,26.0,1009.0,1168.0
2025,1785,光洋科,-1.0,7.0,686.0,1155.0
2025,1786,科妍,-1.0,9.0,769.0,736.0
2025,1795,美時,-1.0,6.0,591.0,1153.0
2025,1802,台玻,0.0,-4.0,1484.0,1484.0
2025,1815,富喬,1.0,1.0,1226.0,1388.0
2025,1905,華紙,0.0,-3.0,1484.0,1484.0
2025,2002,中鋼,-4.0,30.0,1446.0,1290.0
2025,2009,第一銅,-1.0,2.0,1309.0,1229.0
2025,2014,中鴻,0.0,-2.0,1484.0,1484.0
2025,2027,大成鋼,1.0,15.0,845.0,628.0
2025,2049,上銀,-3.0,24.0,687.0,1363.0
2025,2062,橋椿,-1.0,20.0,1009.0,288.0
2025,2101,南港,2.0,2.0,1160.0,989.0
2025,2201,裕隆,-2.0,6.0,1215.0,985.0
2025,2204,中華,-2.0,6.0,419.0,134.0
2025,2230,泰茂,-1.0,4.0,1184.0,900.0
2025,2233,宇隆,-1.0,16.0,373.0,1081.0
2025,2258,鴻華先進-創,0.0,-4.0,1484.0,1484.0
2025,2301,光寶科,3.0,26.0,269.0,778.0
2025,2303,聯電,-3.0,17.0,585.0,1089.0
2025,2308,台達電,2.0,31.0,85.0,1383.0
2025,2312,金寶,-1.0,11.0,1212.0,1063.0
2025,2313,華通,2.0,15.0,553.0,1235.0
2025,2314,台揚,0.0,-7.0,1484.0,1484.0
2025,2317,鴻海,5.0,27.0,167.0,790.0
2025,2324,仁寶,-1.0,28.0,985.0,671.0
2025,2327,國巨*,-1.0,13.0,226.0,1318.0
2025,2328,廣宇,-3.0,14.0,1105.0,1024.0
2025,2329,華泰,1.0,5.0,1008.0,1011.0
2025,2330,台積電,3.0,23.0,24.0,1242.0
2025,2337,旺宏,0.0,-2.0,1484.0,1484.0
2025,2344,華邦電,1.0,1.0,1226.0,1380.0
2025,2345,智邦,4.0,18.0,57.0,1371.0
2025,2348,海悅,-1.0,9.0,269.0,76.0
2025,2349,錸德,0.0,-22.0,1484.0,1484.0
2025,2352,佳世達,-4.0,12.0,1009.0,740.0
2025,2353,宏碁,-1.0,11.0,925.0,699.0
2025,2354,鴻準,1.0,22.0,845.0,832.0
2025,2356,英業達,2.0,26.0,687.0,771.0
2025,2359,所羅門,0.0,12.0,1009.0,1329.0
2025,2363,矽統,2.0,7.0,1185.0,1280.0
2025,2367,燿華,-1.0,2.0,1405.0,1431.0
2025,2368,金像電,2.0,6.0,118.0,1322.0
2025,2371,大同,-1.0,-1.0,1484.0,1484.0
2025,2374,佳能,1.0,11.0,687.0,859.0
2025,2376,技嘉,3.0,27.0,79.0,663.0
2025,2382,廣達,3.0,26.0,54.0,510.0
2025,2383,台光電,3.0,20.0,19.0,1412.0
2025,2402,毅嘉,4.0,8.0,687.0,778.0
2025,2404,漢唐,4.0,28.0,11.0,792.0
2025,2408,南亞科,1.0,1.0,921.0,1442.0
2025,2409,友達,1.0,6.0,1309.0,1157.0
2025,2421,建準,4.0,25.0,257.0,712.0
2025,2449,京元電子,-1.0,16.0,1009.0,1448.0
2025,2454,聯發科,-3.0,26.0,5.0,1179.0
2025,2455,全新,-1.0,17.0,583.0,1333.0
2025,2468,華經,4.0,22.0,1009.0,856.0
2025,2481,強茂,2.0,8.0,778.0,1033.0
2025,2486,一詮,-2.0,5.0,1300.0,1468.0
2025,2492,華新科,2.0,12.0,596.0,1410.0
2025,2498,宏達電,1.0,1.0,1226.0,1219.0
2025,2515,中工,0.0,-2.0,1484.0,1484.0
2025,2537,聯上發,0.0,-4.0,1484.0,1484.0
2025,2540,愛山林,1.0,6.0,208.0,5.0
2025,2542,興富發,2.0,22.0,373.0,17.0
2025,2543,皇昌,4.0,4.0,845.0,592.0
2025,2603,長榮,-1.0,6.0,48.0,62.0
2025,2609,陽明,-1.0,5.0,687.0,590.0
2025,2610,華航,3.0,5.0,1123.0,658.0
2025,2615,萬海,-1.0,14.0,485.0,610.0
2025,2618,長榮航,-1.0,5.0,687.0,436.0
2025,2634,漢翔,-2.0,12.0,1152.0,1123.0
2025,2727,王品,1.0,4.0,47.0,119.0
2025,2731,雄獅,1.0,3.0,75.0,48.0
2025,2743,山富,1.0,3.0,469.0,382.0
2025,2753,八方雲集,2.0,7.0,86.0,164.0
2025,2801,彰銀,1.0,20.0,1125.0,683.0
2025,2812,台中銀,0.0,15.0,1330.0,1002.0
2025,2834,臺企銀,1.0,11.0,1348.0,1057.0
2025,2867,三商壽,0.0,-11.0,1484.0,1484.0
2025,2881,富邦金,0.0,17.0,350.0,707.0
2025,2882,國泰金,0.0,17.0,429.0,679.0
2025,2883,凱基金,3.0,3.0,1009.0,691.0
2025,2884,玉山金,1.0,17.0,903.0,541.0
2025,2885,元大金,3.0,15.0,778.0,829.0
2025,2886,兆豐金,3.0,24.0,801.0,608.0
2025,2887,台新新光金,3.0,16.0,1009.0,762.0
2025,2890,永豐金,3.0,17.0,985.0,818.0
2025,2891,中信金,3.0,19.0,597.0,654.0
2025,2892,第一金,3.0,22.0,925.0,547.0
2025,2912,統一超,0.0,26.0,123.0,587.0
2025,2915,潤泰全,-1.0,17.0,770.0,638.0
2025,3008,大立光,-1.0,25.0,2.0,708.0
2025,3013,晟銘電,-1.0,4.0,1309.0,1432.0
2025,3017,奇鋐,7.0,19.0,28.0,1301.0
2025,3019,亞光,2.0,10.0,310.0,783.0
2025,3029,零壹,3.0,19.0,241.0,418.0
2025,3030,德律,2.0,24.0,171.0,948.0
2025,3035,智原,-3.0,24.0,778.0,1265.0
2025,3036,文曄,2.0,26.0,151.0,821.0
2025,3037,欣興,1.0,26.0,759.0,1465.0
2025,3048,益登,1.0,1.0,1009.0,1095.0
2025,3051,力特,-1.0,4.0,1226.0,1030.0
2025,3056,富華新,-1.0,15.0,1183.0,515.0
2025,3059,華晶科,0.0,12.0,1009.0,980.0
2025,3081,聯亞,2.0,12.0,485.0,1472.0
2025,3105,穩懋,2.0,2.0,687.0,1420.0
2025,3147,大綜,1.0,13.0,190.0,835.0
2025,3162,精確,2.0,2.0,1118.0,1232.0
2025,3163,波若威,-3.0,8.0,801.0,1459.0
2025,3167,大量,2.0,22.0,400.0,1389.0
2025,3189,景碩,2.0,23.0,842.0,1470.0
2025,3211,順達,-1.0,22.0,89.0,811.0
2025,3231,緯創,8.0,21.0,240.0,677.0
2025,3260,威剛,3.0,15.0,42.0,722.0
2025,3293,鈊象,1.0,21.0,14.0,448.0
2025,3305,昇貿,3.0,22.0,641.0,1054.0
2025,3324,雙鴻,2.0,15.0,81.0,1207.0
2025,3363,上詮,0.0,-2.0,1484.0,1484.0
2025,3443,創意,2.0,21.0,31.0,1405.0
2025,3450,聯鈞,2.0,2.0,1009.0,1467.0
2025,3481,群創,0.0,2.0,1009.0,925.0
2025,3491,昇達科,2.0,21.0,185.0,1375.0
2025,3522,御嵿,0.0,-11.0,1484.0,1484.0
2025,3546,宇峻,-1.0,10.0,687.0,890.0
2025,3576,聯合再生,0.0,-3.0,1484.0,1484.0
2025,3645,達邁,2.0,16.0,946.0,1160.0
2025,3661,世芯-KY,-1.0,9.0,16.0,1324.0
2025,3694,海華,3.0,3.0,635.0,657.0
2025,3706,神達,1.0,24.0,485.0,724.0
2025,3708,上緯投控,1.0,10.0,202.0,219.0
2025,3711,日月光投控,2.0,9.0,189.0,1258.0
2025,3715,定穎投控,-1.0,4.0,997.0,1349.0
