年度,股票代號,股票名稱,現金股利連N年遞增,連續N年發放現金股利,現金股利排名,現金股利殖利率排名
2025,0050,元大台灣50,-2,21,95,175
2025,0052,富邦科技,-1,10,9,173
2025,0056,元大高股息,-1,15,5,6
2025,006208,富邦台50,1,14,2,159
2025,00631L,元大台灣50正2,0,-12,192,192
2025,00632R,元大台灣50反1,0,-12,192,192
2025,00637L,元大滬深300正2,0,-11,192,192
2025,00665L,富邦恒生國企正2,0,-10,192,192
2025,00679B,元大美債20年,-1,9,111,128
2025,00680L,元大美債20正2,0,-9,192,192
2025,00687B,國泰20年美債,-1,9,108,122
2025,00708L,期元大S&P黃金正2,0,-9,192,192
2025,00712,復華富時不動產,1,9,134,9
2025,00713,元大台灣高息低波,-1,8,4,15
2025,00715L,期街口S&P布蘭特油正2,0,-9,192,192
2025,00753L,中信中國50正2,0,-8,192,192
2025,00757,統一FANG+,0,-8,192,192
2025,00830,國泰費城半導體,3,6,1,1
2025,00878,國泰永續高股息,-1,6,68,24
2025,00881,國泰台灣科技龍頭,3,5,10,8
2025,00882,中信中國高股息,2,5,120,30
2025,00900,富邦特選高股息30,-1,4,112,16
2025,00909,國泰數位支付服務,0,-1,192,192
2025,00915,凱基優選高股息30,-1,3,96,39
2025,00918,大華優利高填息30,-1,3,23,4
2025,00919,群益台灣精選高息,-1,3,20,2
2025,00922,國泰台灣領袖50,2,3,45,22
2025,00929,復華台灣科技優息,-1,3,128,118
2025,00937B,群益ESG投等債20+,-1,2,124,40
2025,00940,元大台灣價值高息,1,2,170,105
2025,00953B,群益優選非投等債,1,2,135,14
2025,009805,新光美國電力基建,0,-1,192,192
2025,00981A,主動統一台股增長,0,-1,192,192
2025,00982A,主動群益台灣強棒,0,1,122,48
