股票代號,股票名稱,上市上櫃,主產業,全部產業標籤
0050,元大台灣50,7,ETF/其他,
0052,富邦科技,7,ETF/其他,
0056,元大高股息,7,ETF/其他,
006208,富邦台50,7,ETF/其他,
00631L,元大台灣50正2,7,ETF/其他,
00632R,元大台灣50反1,7,ETF/其他,
00637L,元大滬深300正2,7,ETF/其他,
00665L,富邦恒生國企正2,7,ETF/其他,
00679B,元大美債20年,7,ETF/其他,
00680L,元大美債20正2,7,ETF/其他,
00687B,國泰20年美債,7,ETF/其他,
00708L,期元大S&P黃金正2,7,ETF/其他,
00712,復華富時不動產,7,ETF/其他,
00713,元大台灣高息低波,7,ETF/其他,
00715L,期街口S&P布蘭特油正2,7,ETF/其他,
00753L,中信中國50正2,7,ETF/其他,
00757,統一FANG+,7,ETF/其他,
00830,國泰費城半導體,7,ETF/其他,
00878,國泰永續高股息,7,ETF/其他,
00881,國泰台灣科技龍頭,7,ETF/其他,
00882,中信中國高股息,7,ETF/其他,
00900,富邦特選高股息30,7,ETF/其他,
00909,國泰數位支付服務,7,ETF/其他,
00915,凱基優選高股息30,7,ETF/其他,
00918,大華優利高填息30,7,ETF/其他,
00919,群益台灣精選高息,7,ETF/其他,
00922,國泰台灣領袖50,7,ETF/其他,
00929,復華台灣科技優息,7,ETF/其他,
00937B,群益ESG投等債20+,7,ETF/其他,
00940,元大台灣價值高息,7,ETF/其他,
00953B,群益優選非投等債,7,ETF/其他,
009805,新光美國電力基建,7,ETF/其他,
00981A,主動統一台股增長,7,ETF/其他,
00982A,主動群益台灣強棒,7,ETF/其他,
1101,台泥,1,水泥工業,水泥工業、上市–不含金融、上市–不含電子、上市–不含金融電子
1210,大成,1,食品工業,食品工業、上市–不含金融、上市–不含電子、上市–不含金融電子
1216,統一,1,食品工業,食品工業、上市–不含金融、上市–不含電子、上市–不含金融電子
1229,聯華,1,食品工業,食品工業、上市–不含金融、上市–不含電子、上市–不含金融電子
1231,聯華食,1,食品工業,食品工業、上市–不含金融、上市–不含電子、上市–不含金融電子
1301,台塑,1,塑膠工業,塑膠工業、上市–不含金融、上市–不含電子、上市–不含金融電子
1303,南亞,1,塑膠工業,塑膠工業、上市–不含金融、上市–不含電子、上市–不含金融電子
1316,上曜,1,建材營建,建材營建、上市–不含金融、上市–不含電子、上市–不含金融電子
1319,東陽,1,汽車工業,汽車工業、上市–不含金融、上市–不含電子、上市–不含金融電子
1402,遠東新,1,紡織纖維,紡織纖維、上市–不含金融、上市–不含電子、上市–不含金融電子
1409,新纖,1,紡織纖維,紡織纖維、上市–不含金融、上市–不含電子、上市–不含金融電子
1434,福懋,1,紡織纖維,紡織纖維、上市–不含金融、上市–不含電子、上市–不含金融電子
1449,佳和,1,紡織纖維,紡織纖維、上市–不含金融、上市–不含電子、上市–不含金融電子
1476,儒鴻,1,紡織纖維,紡織纖維、上市–不含金融、上市–不含電子、上市–不含金融電子
1477,聚陽,1,紡織纖維,紡織纖維、上市–不含金融、上市–不含電子、上市–不含金融電子
1503,士電,1,電機機械,電機機械、上市–不含金融、上市–不含電子、上市–不含金融電子
1504,東元,1,電機機械,電機機械、上市–不含金融、上市–不含電子、上市–不含金融電子
1513,中興電,1,電機機械,電機機械、上市–不含金融、上市–不含電子、上市–不含金融電子
1514,亞力,1,電機機械,電機機械、上市–不含金融、上市–不含電子、上市–不含金融電子
1519,華城,1,電機機械,電機機械、上市–不含金融、上市–不含電子、上市–不含金融電子
1536,和大,1,汽車工業,汽車工業、上市–不含金融、上市–不含電子、上市–不含金融電子
1560,中砂,1,電機機械,電機機械、上市–不含金融、上市–不含電子、上市–不含金融電子
1584,精剛,2,其他,其他、上櫃–不含金融、上櫃–不含電子、上櫃–不含金融電子
1605,華新,1,電器電纜,電器電纜、上市–不含金融、上市–不含電子、上市–不含金融電子
1609,大亞,1,電器電纜,電器電纜、上市–不含金融、上市–不含電子、上市–不含金融電子
1717,長興,1,化學工業,化學工業、化學生技醫療、上市–不含金融、上市–不含電子、上市–不含金融電子
1785,光洋科,2,電子–其他電子,電子–其他電子、電子工業、上櫃–不含金融、上櫃–電子
1786,科妍,1,生技醫療,生技醫療、化學生技醫療、上市–不含金融、上市–不含電子、上市–不含金融電子
1795,美時,1,生技醫療,生技醫療、化學生技醫療、上市–不含金融、上市–不含電子、上市–不含金融電子
1802,台玻,1,玻璃陶瓷,玻璃陶瓷、上市–不含金融、上市–不含電子、上市–不含金融電子
1815,富喬,2,電子–電子零組件,電子–電子零組件、電子工業、上櫃–不含金融、上櫃–電子
1905,華紙,1,造紙工業,造紙工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2002,中鋼,1,鋼鐵工業,鋼鐵工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2009,第一銅,1,鋼鐵工業,鋼鐵工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2014,中鴻,1,鋼鐵工業,鋼鐵工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2027,大成鋼,1,鋼鐵工業,鋼鐵工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2049,上銀,1,電機機械,電機機械、上市–不含金融、上市–不含電子、上市–不含金融電子
2062,橋椿,1,居家生活,居家生活、上市–不含金融、上市–不含電子、上市–不含金融電子
2101,南港,1,橡膠工業,橡膠工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2201,裕隆,1,汽車工業,汽車工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2204,中華,1,汽車工業,汽車工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2230,泰茂,2,居家生活,居家生活、上櫃–不含電子、上櫃–不含金融電子、上櫃–不含金融
2233,宇隆,1,汽車工業,汽車工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2258,鴻華先進-創,Y1,汽車工業,汽車工業、上市–不含金融、上市–不含電子、上市–不含金融電子
2301,光寶科,1,電子–電腦及週邊設備,電子–電腦及週邊設備、電子工業、上市–不含金融、上市–電子
2303,聯電,1,電子–半導體,電子–半導體、電子工業、上市–不含金融、上市–電子
2308,台達電,1,電子–電子零組件,電子–電子零組件、電子工業、上市–不含金融、上市–電子
2312,金寶,1,電子–其他電子,電子–其他電子、電子工業、上市–不含金融、上市–電子
2313,華通,1,電子–電子零組件,電子–電子零組件、電子工業、上市–不含金融、上市–電子
2314,台揚,1,電子–通信網路,電子–通信網路、電子工業、上市–不含金融、上市–電子
2317,鴻海,1,電子–其他電子,電子–其他電子、電子工業、上市–不含金融、上市–電子
2324,仁寶,1,電子–電腦及週邊設備,電子–電腦及週邊設備、電子工業、上市–不含金融、上市–電子
2327,國巨*,1,電子–電子零組件,電子–電子零組件、電子工業、上市–不含金融、上市–電子
2328,廣宇,1,電子–電子零組件,電子–電子零組件、電子工業、上市–不含金融、上市–電子
2329,華泰,1,電子–半導體,電子–半導體、電子工業、上市–不含金融、上市–電子
2330,台積電,1,電子–半導體,電子–半導體、電子工業、上市–不含金融、上市–電子
2337,旺宏,1,電子–半導體,電子–半導體、電子工業、上市–不含金融、上市–電子
2344,華邦電,1,電子–半導體,電子–半導體、電子工業、上市–不含金融、上市–電子
2345,智邦,1,電子–通信網路,電子–通信網路、電子工業、上市–不含金融、上市–電子
2348,海悅,1,其他,其他、上市–不含金融、上市–不含電子、上市–不含金融電子
2349,錸德,1,電子–光電,電子–光電、電子工業、上市–不含金融、上市–電子
2352,佳世達,1,電子–電腦及週邊設備,電子–電腦及週邊設備、電子工業、上市–不含金融、上市–電子
2353,宏碁,1,電子–電腦及週邊設備,電子–電腦及週邊設備、電子工業、上市–不含金融、上市–電子
2354,鴻準,1,電子–其他電子,電子–其他電子、電子工業、上市–不含金融、上市–電子
2356,英業達,1,電子–電腦及週邊設備,電子–電腦及週邊設備、電子工業、上市–不含金融、上市–電子
2359,所羅門,1,電子–其他電子,電子–其他電子、電子工業、上市–不含金融、上市–電子
2363,矽統,1,電子–半導體,電子–半導體、電子工業、上市–不含金融、上市–電子
2367,燿華,1,電子–電子零組件,電子–電子零組件、電子工業、上市–不含金融、上市–電子
