股票代號,股票名稱,市場,產業,收盤價,總市值(億),市值比重(%),本益比(近四季),股價淨值比,週轉率(%),季報酬率(%),年報酬率(%),與大盤比年報酬(%),殖利率(%),近20日法人買賣超,外資持股率(%),法人持股率(%),連續配息年數,最新年度現金股利,股利發放率(%),最近除息日,同學會瀏覽次數,同學會瀏覽人數,今年新高,今年新低,今年以來(%),距年線乖離(%),買點分位(%),創歷史新高
00919,群益台灣精選高息,ETF,ETF/其他,22.4,4141.2,,,,0.32,7.9,7.3,-18.5,11.25,486578,0.91,,3.0,2.52,,20251216,1615613,78244,,,,,,
0050,元大台灣50,ETF,ETF/其他,65.6,10146.4,,,,0.46,13.5,36.9,11.1,5.64,52849,4.15,,21.0,1.36,,20260122,1530967,117758,,,,,,
00715L,期街口S&P布蘭特油正2,ETF,ETF/其他,19.79,98.2,,,,2.07,-12.7,-28.1,-53.9,,119781,7.0,,-9.0,,,,1276568,21820,,,,,,
0056,元大高股息,ETF,ETF/其他,36.73,5212.7,,,,0.21,2.2,12.0,-13.8,10.89,-147930,0.3,,15.0,3.67,,20260122,1120368,69258,,,,,,
00878,國泰永續高股息,ETF,ETF/其他,21.71,4590.2,,,,0.2,3.6,6.3,-19.4,9.72,346922,0.64,,6.0,1.69,,20260226,1100892,71361,,,,,,
00712,復華富時不動產,ETF,ETF/其他,9.12,430.4,,,,0.21,6.9,7.3,-18.5,8.7,132939,0.13,,9.0,0.79,,20251217,944889,28655,,,,,,
00679B,元大美債20年,ETF,ETF/其他,27.24,2379.1,,,,0.29,2.4,-0.6,-26.4,4.85,139733,2.82,,9.0,1.16,,20260226,796276,40344,,,,,,
00687B,國泰20年美債,ETF,ETF/其他,28.3,1932.1,,,,0.4,2.4,-0.7,-26.4,4.38,138082,2.68,,9.0,1.24,,20251216,778534,36389,,,,,,
00937B,群益ESG投等債20+,ETF,ETF/其他,15.08,2677.0,,,,0.22,2.0,1.5,-24.2,6.6,95322,0.53,,2.0,0.9,,20260120,690475,30417,,,,,,
00929,復華台灣科技優息,ETF,ETF/其他,18.07,1326.5,,,,0.38,-1.4,4.9,-20.8,9.57,118043,0.75,,3.0,0.88,,20260120,676949,42938,,,,,,
00680L,元大美債20正2,ETF,ETF/其他,7.26,223.9,,,,0.34,-2.8,-4.8,-30.6,,111888,0.66,,-9.0,,,,362943,21693,,,,,,
00713,元大台灣高息低波,ETF,ETF/其他,50.55,1311.5,,,,0.35,-0.3,2.8,-22.9,8.03,81505,0.41,,8.0,4.06,,20251219,355546,31100,,,,,,
00918,大華優利高填息30,ETF,ETF/其他,22.61,846.5,,,,0.4,3.3,9.5,-16.2,10.99,-156541,0.94,,3.0,2.48,,20251218,324595,24815,,,,,,
00632R,元大台灣50反1,ETF,ETF/其他,16.46,284.1,,,,1.7,-10.8,-28.1,-53.9,,-15890,1.06,,-12.0,,,,319155,28264,,,,,,
00981A,主動統一台股增長,ETF,ETF/其他,16.91,500.2,,,,3.01,24.5,,0.0,,-456428,1.02,,-1.0,,,,270509,22017,,,,,,
00940,元大台灣價值高息,ETF,ETF/其他,9.26,1005.4,,,,0.23,-0.5,3.1,-22.6,3.35,148883,0.27,,2.0,0.44,,20260108,265461,36641,,,,,,
00953B,群益優選非投等債,ETF,ETF/其他,9.74,399.3,,,,0.65,4.0,2.3,-23.4,2.16,-30974,0.71,,2.0,0.78,,20260106,252398,13802,,,,,,
006208,富邦台50,ETF,ETF/其他,150.1,2884.2,,,,0.57,14.1,35.9,10.2,2.96,11703,1.42,,14.0,4.44,,20251118,245144,31480,,,,,,
00665L,富邦恒生國企正2,ETF,ETF/其他,10.71,56.6,,,,3.63,-11.9,27.3,1.6,,-61818,1.29,,-10.0,,,,217454,7237,,,,,,
00882,中信中國高股息,ETF,ETF/其他,15.16,357.0,,,,0.33,8.9,25.4,-0.4,6.13,-26380,0.12,,5.0,1.0,,20260119,204466,14260,,,,,,
00753L,中信中國50正2,ETF,ETF/其他,12.12,92.5,,,,1.72,-14.2,38.4,12.6,,-43859,2.32,,-8.0,,,,182156,10267,,,,,,
00909,國泰數位支付服務,ETF,ETF/其他,38.86,87.3,,,,1.86,-9.6,21.2,-4.6,4.66,-16150,1.61,,-1.0,,,,181372,15677,,,,,,
00637L,元大滬深300正2,ETF,ETF/其他,20.47,220.5,,,,3.93,4.3,20.9,-4.8,,60608,0.45,,-11.0,,,,169767,8515,,,,,,
00757,統一FANG+,ETF,ETF/其他,118.15,432.4,,,,0.34,0.9,13.1,-12.7,,-509,2.27,,-8.0,,,,163355,21189,,,,,,
0052,富邦科技,ETF,ETF/其他,37.89,611.9,,,,3.85,15.8,39.2,13.5,8.52,-241881,2.68,,10.0,3.23,,20250423,156335,24774,,,,,,
00631L,元大台灣50正2,ETF,ETF/其他,362.9,412.2,,,,2.83,22.3,51.0,25.3,,3374,1.75,,-12.0,,,,154809,18408,,,,,,
00922,國泰台灣領袖50,ETF,ETF/其他,25.9,428.8,,,,1.0,11.1,28.7,3.0,7.26,41025,11.07,,3.0,1.88,,20251020,147304,15139,,,,,,
00915,凱基優選高股息30,ETF,ETF/其他,22.81,237.1,,,,0.27,1.8,-1.6,-27.4,5.92,53668,0.37,,3.0,1.35,,20251216,145803,15831,,,,,,
00982A,主動群益台灣強棒,ETF,ETF/其他,14.61,286.6,,,,2.61,16.0,,0.0,,74415,2.19,,1.0,0.95,,20260226,142040,12825,,,,,,
00830,國泰費城半導體,ETF,ETF/其他,57.85,272.5,,,,0.69,16.2,36.0,10.3,6.85,36373,3.43,,6.0,9.0,,20260120,133680,14891,,,,,,
009805,新光美國電力基建,ETF,ETF/其他,12.41,44.2,,,,2.29,4.5,,0.0,,-24671,0.21,,-1.0,,,,121198,9307,,,,,,
00881,國泰台灣科技龍頭,ETF,ETF/其他,32.62,722.3,,,,0.55,12.9,37.8,12.1,5.36,30048,1.72,,5.0,3.2,,20260120,116519,13876,,,,,,
00708L,期元大S&P黃金正2,ETF,ETF/其他,90.55,81.1,,,,6.41,21.1,133.9,108.1,,5115,1.2,,-9.0,,,,114380,14454,,,,,,
00900,富邦特選高股息30,ETF,ETF/其他,13.76,361.2,,,,0.39,4.8,7.9,-17.9,8.66,223978,1.31,,4.0,1.15,,20260120,113858,13027,,,,,,
5314,世紀*,個股,其他,98.1,286.5,0.396,31.5,29.2,1.46,-28.8,152.1,126.4,0.28,-486,9.09,9.33,3.0,0.2,31.74,,1627926,66554,1390.0,45.0,-83.1,-58.8,4.0,0.0
8033,雷虎,個股,其他,145.0,221.3,0.023,156.3,11.76,3.21,-2.0,107.4,81.7,0.0,-1438,1.48,4.63,-17.0,0.0,0.0,,1170137,71744,188.0,48.900001525878906,108.8,50.8,69.0,0.0
5871,中租-KY,個股,其他,105.5,1963.8,0.192,10.2,1.14,0.86,-5.4,0.1,-25.7,5.78,2671,42.74,51.99,15.0,5.8,53.38,20260729,713906,37356,130.5,94.30000305175781,-5.8,-9.1,31.0,0.0
9945,潤泰新,個股,其他,29.8,847.6,0.09,9.0,0.87,0.43,0.7,-28.0,-53.7,3.69,2748,9.7,11.66,3.0,1.1,27.99,20260707,567503,25576,43.25,28.799999237060547,-30.7,-8.9,7.0,0.0
8936,國統,個股,其他,55.4,137.4,0.186,13.7,2.13,0.29,12.8,19.1,-6.6,3.61,-2757,14.43,14.87,8.0,3.0,73.53,,382628,18452,69.30000305175781,46.900001525878906,14.8,1.0,38.0,0.0
9933,中鼎,個股,其他,30.9,276.4,0.03,95.8,1.36,0.44,-2.4,-9.1,-34.8,3.24,-8880,8.45,9.36,28.0,0.8,52.36,,293654,29622,43.04999923706055,25.200000762939453,-19.3,-5.7,32.0,0.0
5284,jpp-KY,個股,其他,281.0,148.6,0.016,27.4,4.49,1.04,-1.9,79.7,54.0,0.53,-3077,54.92,54.92,12.0,5.0,41.49,20260709,272921,21840,324.0,108.0,75.7,31.7,80.0,0.0
4541,晟田,個股,其他,41.2,27.9,0.038,25.0,1.7,0.91,-16.9,21.2,-4.6,1.82,-707,2.56,2.93,2.0,1.4,68.97,20260630,253371,26076,64.30000305175781,31.0,19.1,-8.0,31.0,0.0
2348,海悅,個股,其他,80.8,147.0,0.013,18.9,1.87,0.19,-6.4,-56.0,-81.7,11.14,-167,1.44,1.94,9.0,5.0,80.29,,204448,16425,205.5,77.0,-58.4,-29.9,3.0,0.0
9941,裕融,個股,其他,85.6,578.3,0.052,13.2,1.48,0.4,-15.7,-9.8,-35.5,5.12,-4985,5.54,10.46,26.0,4.38,59.64,,150328,11777,123.0,85.5999984741211,-15.3,-18.1,0.0,0.0
9939,宏全,個股,其他,121.0,357.9,0.038,13.7,1.97,0.15,-5.1,-14.6,-40.3,5.12,-3299,13.03,17.17,28.0,6.2,68.13,20260702,124298,9330,168.0,116.0,-18.0,-15.7,10.0,0.0
1584,精剛,個股,其他,23.2,53.9,0.073,204.1,1.13,0.23,-12.1,-17.3,-43.1,3.02,2501,4.02,4.9,5.0,0.26,58.72,20260622,121600,12682,31.5,20.850000381469727,-19.8,-9.0,22.0,0.0
